vehicle_name,year,miles,price,transmission,fuel_type,drivetrain,exterior_color,vin,mpg,engine
Kia Sportage SX Turbo,2020,"64,709 ","25,499",Automatic,Gasoline , Front-wheel Drive , Black Cherry Pearl , KNDPR3A64L7719224 ,,Intercooled Turbo Regular Unleaded I-4 2.0 L/122
Nissan Murano S,2020,"18,157 ","25,499",Variable,Gasoline , Front-wheel Drive , Brilliant Silver Metallic , 5N1AZ2AJXLN170978 ,,Regular Unleaded V-6 3.5 L/213
Ford Edge SEL,2020,"47,312 ","25,499",Automatic,Gasoline , Front-wheel Drive , Star White Metallic Tri-Coat , 2FMPK3J92LBA46287 ,,Intercooled Turbo Premium Unleaded I-4 2.0 L/122
Nissan Murano Platinum,2018,"80,773 ","25,499",Variable,Gasoline , All-wheel Drive , Magnetic Black Metallic , 5N1AZ2MH1JN198870 ,,Regular Unleaded V-6 3.5 L/213
Nissan Murano S,2018,"36,711 ","25,499",Variable,Gasoline , All-wheel Drive , Arctic Blue Metallic , 5N1AZ2MH7JN145784 ,,Regular Unleaded V-6 3.5 L/213
Honda CR-V EX,2017,"33,240 ","25,499",Variable,Gasoline , Front-wheel Drive , Lunar Silver Metallic , 7FARW1H54HE009474 ,,Intercooled Turbo Regular Unleaded I-4 1.5 L/91
Buick Envision Premium II,2017,"53,984 ","25,499",Automatic,Gasoline , All-wheel Drive , Ebony Twilight Metallic , LRBFXFSXXHD019032 ,,Gas I4 2.0L/
Subaru Outback 2.5i Limited,2017,"80,924 ","25,499",Automatic CVT,Gasoline , All-wheel Drive , Ice Silver Metallic , 4S4BSANC5H3431886 ,,2.5L H4 16V MPFI DOHC
Cadillac XT5 FWD,2017,"45,174 ","25,499",Automatic,Gasoline , Front-wheel Drive , Dark Granite Metallic , 1GYKNARS9HZ126167 ,,Gas V6 3.6L/222.6
Kia Sportage S,2020,"25,114 ","25,499",Automatic,Gasoline , Front-wheel Drive , Pacific Blue , KNDP63AC2L7655568 ,,Regular Unleaded I-4 2.4 L/144
Volkswagen Tiguan 2.0T SE,2018,"41,043 ","25,499",Automatic,Gasoline , All-wheel Drive , Deep Black Pearl Metallic , 3VV2B7AX2JM148061 ,,Intercooled Turbo Regular Unleaded I-4 2.0 L/121
Ford Edge SEL,2018,"48,610 ","25,499",Automatic,Gasoline , All-wheel Drive , Blue , 2FMPK4J96JBB85874 ,,Intercooled Turbo Premium Unleaded I-4 2.0 L/122
BMW X3 xDrive28i,2016,"48,809 ","25,500",8-Speed Automatic,Gasoline , All-wheel Drive , Jet Black , 5UXWX9C50G0D70085 ,,2.0L I4 16V GDI DOHC Turbo
Volkswagen Tiguan 2.0T S,2019,"29,862 ","25,500",8-Speed Automatic,Gasoline , All-wheel Drive , Platinum Gray Metallic , 3VV0B7AX6KM055214 ,,2.0L I4 16V GDI DOHC Turbo
Subaru Crosstrek 2.0i Premium,2018,"60,678 ","25,500",Automatic CVT,Gasoline , All-wheel Drive , Crystal White Pearl , JF2GTACC0J8273414 ,,2.0L H4 16V GDI DOHC
Toyota RAV4 Limited,2016,"59,162 ","25,500",6-Speed Automatic,Gasoline , All-wheel Drive , White , 2T3DFREV9GW517537 ,,2.5L I4 16V MPFI DOHC
Mazda CX-5 Sport,2018,"43,884 ","25,500",6-Speed Automatic,Gasoline , Front-wheel Drive , Jet Black Mica , JM3KFABM1J0314083 ,,2.5L I4 16V
Nissan Pathfinder SV,2018,"63,982 ","25,522",Automatic CVT,Gasoline , Four-wheel Drive , White Glacier , 5N1DR2MM6JC643240 ,,3.5L V6 24V GDI DOHC
Toyota RAV4 XLE,2016,"35,060 ","25,551",6-Speed Automatic,Gasoline , Front-wheel Drive , Black , 2T3WFREV5GW302455 ,,2.5L I4 16V MPFI DOHC
Subaru Crosstrek 2.0i Premium,2017,"59,142 ","25,555",Automatic CVT,Gasoline , All-wheel Drive , Venetian Red Pearl , JF2GPABC9HH270656 ,,2.0L H4 16V MPFI DOHC
Volkswagen Tiguan 2.0T S,2020,"4,009 ","25,577",8-Speed Automatic,Gasoline , Front-wheel Drive , Pure White , 3VV1B7AX0LM173362 ,,2.0L I4 16V GDI DOHC Turbo
Buick Envision Essence,2017,"54,543 ","25,590",6-Speed Automatic,E85 Flex Fuel , Front-wheel Drive , Silver , LRBFXBSA6HD200360 ,,2.5L I4 16V GDI DOHC Flexible Fuel
Chevrolet Trax LT,2020,"1,652 ","25,590",6-Speed Automatic,Gasoline , FWD , Blue , 3GNCJLSB1LL319206 ,,1.4L I4 16V MPFI DOHC Turbo
Lexus NX 200t Base,2016,"85,083 ","25,590",6-Speed Automatic,Gasoline , Front-wheel Drive , Silver , JTJYARBZ3G2047423 ,,2.0L I4 16V PDI DOHC Turbo
Subaru Outback 2.5i Premium,2019,"77,554 ","25,590",Automatic CVT,Gasoline , All-wheel Drive , Crystal Black Silica , 4S4BSAFC1K3347277 ,,2.5L H4 16V MPFI DOHC
Volkswagen Tiguan 2.0T SEL,2018,"68,789 ","25,592",8-Speed Automatic,Gasoline , Front-wheel Drive , Dark Moss Green Metallic , 3VV3B7AX4JM062528 ,,2.0L I4 16V GDI DOHC Turbo
Subaru Crosstrek 2.0i Premium,2018,"31,906 ","25,600",Automatic CVT,Gasoline , All-wheel Drive , Dark Gray Metallic , JF2GTADC3JH352140 ,,2.0L H4 16V GDI DOHC
Subaru Outback 2.5i Premium,2019,"76,777 ","25,635",Automatic CVT,Gasoline , All-wheel Drive , Crystal Black Silica , 4S4BSAFC4K3301541 ,,2.5L H4 16V MPFI DOHC
Ford Explorer XLT,2016,"73,480 ","25,650",6-Speed Automatic,Gasoline , Four-wheel Drive , Black , 1FM5K8D87GGD03739 ,,3.5L V6 24V MPFI DOHC
Honda CR-V EX-L,2016,"32,729 ","25,650",Automatic CVT,Gasoline , All-wheel Drive , White , 5J6RM4H78GL067579 ,,2.4L I4 16V GDI DOHC
Nissan Rogue SV,2019,"44,479 ","25,691",Automatic CVT,Gasoline , Front-wheel Drive , Monarch Orange , JN8AT2MT2KW257841 ,,2.5L I4 16V MPFI DOHC
Nissan Rogue SL,2019,"77,217 ","25,697",Automatic CVT,Gasoline , All-wheel Drive , White , 5N1AT2MV3KC819613 ,,2.5L I4 16V MPFI DOHC
Nissan Kicks SV,2021,925 ,"25,700",Automatic CVT,Gasoline , Front-wheel Drive , Aspen White / Super Black , 3N1CP5CV7ML496598 ,,1.6L I4 16V MPFI DOHC
Jeep Compass Trailhawk,2019,"52,111 ","25,700",9-Speed Automatic,Gasoline , Four-wheel Drive , Redline Pearlcoat , 3C4NJDDB1KT660544 ,,2.4L I4 16V MPFI SOHC
Ford Flex SEL,2018,"36,959 ","25,722",6-Speed Automatic,Gasoline , Front-wheel Drive , Oxford White , 2FMGK5C83JBA12095 ,,3.5L V6 24V MPFI DOHC
Honda CR-V,2016,"55,146 ","25,724",Continuously Variable Transmission,– , – , White Diamond Pearl , 5J6RM4H58GL048965 , –,–
Mercedes-Benz GLA 250 Base 4MATIC,2017,"63,874 ","25,772",7-Speed Automatic with Auto-Shift,E85 Flex Fuel , All-wheel Drive , Pearl White , WDCTG4GB2HJ342413 ,,2.0L I4 16V GDI DOHC Turbo Flexible Fuel
Toyota RAV4 LE,2017,"26,500 ","25,787",6-Speed Automatic,Gasoline , All-wheel Drive , Silver , 2T3BFREV1HW563632 ,,2.5L I4 16V MPFI DOHC
Lexus NX 200t Base,2017,"97,946 ","25,788",6-Speed Automatic,Gasoline , All-wheel Drive , Black , JTJBARBZXH2108841 ,,2.0L I4 16V PDI DOHC Turbo
Ford Edge SEL,2018,"52,424 ","25,788",6-Speed Automatic,Gasoline , All-wheel Drive , Shadow Black , 2FMPK4J88JBB07538 ,,3.5L V6 24V MPFI DOHC
Chevrolet Equinox 1LT,2018,"45,796 ","25,788",6-Speed Automatic,Gasoline , All-wheel Drive , Summit White , 3GNAXSEV0JS615729 ,,1.5L I4 16V GDI DOHC Turbo
Volkswagen Tiguan 2.0T SEL,2018,"32,644 ","25,796",8-Speed Automatic,Gasoline , Front-wheel Drive , White Silver Metallic , 3VV3B7AX9JM221480 ,,2.0L I4 16V GDI DOHC Turbo
Dodge Durango SXT,2017,"65,478 ","25,799",8-Speed Automatic,Gasoline , Rear-wheel Drive , Granite Clearcoat Metallic , 1C4RDHAG9HC878591 ,,3.6L V6 24V MPFI DOHC
Kia Niro Plug-In Hybrid LX,2019,"25,588 ","25,800",6-Speed Automatic with Auto-Shift,Hybrid , Front-wheel Drive , Aurora Black Pearl , KNDCM3LD1K5325392 , –,1.6L I4 16V GDI DOHC Hybrid
Subaru Crosstrek 2.0i Premium,2019,"51,616 ","25,800",Automatic CVT,Gasoline , All-wheel Drive , Dark Gray Metallic , JF2GTAEC1KH243756 ,,2.0L H4 16V GDI DOHC
INFINITI QX30 Premium,2018,"33,758 ","25,888",7-Speed Automatic with Auto-Shift,– , Front-wheel Drive , Black , SJKCH5CP4JA047035 , –,2.0L I4 16V GDI DOHC Turbo
Volkswagen Tiguan 2.0T S,2019,"32,256 ","25,888",8-Speed Automatic,Gasoline , All-wheel Drive , Pure White , 3VV0B7AX4KM014628 ,,2.0L I4 16V GDI DOHC Turbo
Honda HR-V LX,2021,"18,314 ","25,888",Automatic CVT,Gasoline , Front-wheel Drive , Crystal Black Pearl , 3CZRU5H34MM707154 ,,1.8L I4 16V MPFI SOHC
Toyota C-HR LE,2019,"35,117 ","25,900",Automatic CVT,Gasoline , Front-wheel Drive , Ruby Flare Pearl , JTNKHMBX4K1050041 ,,2.0L I4 16V MPFI DOHC
Kia Sorento LX V6,2019,"35,309 ","25,900",8-Speed Automatic,Gasoline , Front-wheel Drive , Snow White Pearl , 5XYPG4A51KG449390 ,,3.3L V6 24V GDI DOHC
Mazda CX-5 Sport,2020,"41,185 ","25,900",6-Speed Automatic,Gasoline , All-wheel Drive , Jet Black Mica , JM3KFBBM5L0759757 ,,2.5L I4 16V GDI DOHC
INFINITI QX50 Base,2017,"51,380 ","25,922",7-Speed Automatic,Gasoline , Rear-wheel Drive , Graphite Shadow , JN1BJ0RPXHM381370 ,,3.7L V6 24V MPFI DOHC
Toyota C-HR LE,2020,"30,551 ","25,940",Automatic CVT,Gasoline , Front-wheel Drive , Silver Knockout Metallic , JTNKHMBX3L1062814 ,,2.0L I4 16V MPFI DOHC
BMW X3 xDrive28i,2016,"55,551 ","25,950",8-Speed Automatic,Gasoline , All-wheel Drive , Alpine White , 5UXWX9C51G0D79216 ,,2.0L I4 16V GDI DOHC Turbo
Honda CR-V EX,2017,"36,335 ","25,950",Automatic CVT,Gasoline , Front-wheel Drive , Silver , 7FARW1H54HE031331 ,,1.5L I4 16V GDI DOHC Turbo
Lexus NX 200t Base,2016,"63,646 ","25,950",6-Speed Automatic,Gasoline , Front-wheel Drive , Black , JTJYARBZ2G2030483 ,,2.0L I4 16V PDI DOHC Turbo
Audi Q3 2.0T Premium,2017,"64,498 ","25,958",6-Speed Automatic,Gasoline , Front-wheel Drive , Brilliant Black , WA1BCCFS6HR001326 ,,2.0L I4 16V GDI DOHC Turbo
Jeep Compass Latitude,2018,"16,000 ","25,959",6-Speed Automatic,Gasoline , Front-wheel Drive , Black , 3C4NJCBB2JT241050 ,,2.4L I4 16V MPFI SOHC
Subaru Crosstrek 2.0i Limited,2016,"52,965 ","25,974",Automatic CVT,Gasoline , All-wheel Drive , Crystal White Pearl , JF2GPALC1G8344472 ,,2.0L H4 16V MPFI DOHC
Honda HR-V Sport,2019,"41,299 ","25,981",Automatic CVT,Gasoline , Front-wheel Drive , Orangeburst Metallic , 3CZRU5H13KM717475 ,,1.8L I4 16V MPFI SOHC
Mitsubishi Outlander ES,2018,"20,578 ","25,981",Automatic CVT,Gasoline , Front-wheel Drive , Diamond White Pearl , JA4AD2A38JZ064601 ,,2.4L I4 16V MPFI SOHC
BMW X3 xDrive28d,2016,"84,194 ","25,988",8-Speed Automatic,Diesel , All-wheel Drive , Mineral Silver Metallic , 5UXWY3C59G0N88646 ,,2.0L I4 16V DDI DOHC Turbo Diesel
Mazda CX-5 Touring,2018,"49,629 ","25,988",6-Speed Automatic,Gasoline , Front-wheel Drive , Deep Crystal Blue Mica , JM3KFACM4J1456209 ,,2.5L I4 16V GDI DOHC
Ford Escape SE,2018,"39,354 ","25,988",6-SPEED AUTOMATIC,– , – , OXFORD WHITE , 1FMCU0GD3JUB28796 , –,1.5L ECOBOOST ENGINE
Mazda CX-5 Touring,2019,"29,735 ","25,988",6-Speed Automatic,Gasoline , Front-wheel Drive , Snowflake White Pearl Mica , JM3KFACM1K1583890 ,,2.5L I4 16V GDI DOHC
BMW X1 xDrive 28i,2017,"48,676 ","25,989",8-Speed Automatic,Gasoline , All-wheel Drive , Jet Black , WBXHT3C39H5F81407 ,,2.0L I4 16V GDI DOHC Turbo
Chevrolet Equinox 1LT,2019,"44,269 ","25,989",6-Speed Automatic,Gasoline , Front-wheel Drive , Summit White , 3GNAXKEV3KS588236 ,,1.5L I4 16V GDI DOHC Turbo
Land Rover Discovery Sport SE,2016,"49,455 ","25,990",9-Speed Automatic,Gasoline , Four-wheel Drive , Corris Grey , SALCP2BG9GH545262 ,,2.0L I4 16V GDI DOHC Turbo
Subaru Crosstrek 2.0i Premium,2016,"29,185 ","25,990",Automatic CVT,Gasoline , All-wheel Drive , Dark Gray Metallic , JF2GPADC5G8265644 ,,2.0L H4 16V MPFI DOHC
Nissan Kicks SV,2020,"28,114 ","25,990",Automatic CVT,Gasoline , Front-wheel Drive , Deep Blue Pearl , 3N1CP5CV7LL573243 ,,1.6L I4 16V MPFI DOHC
Chevrolet Equinox 1LT,2019,"14,295 ","25,990",6-Speed Automatic,Gasoline , Front-wheel Drive , Storm Blue Metallic , 3GNAXKEV2KS517416 ,,1.5L I4 16V GDI DOHC Turbo
INFINITI QX60 Base,2018,"94,981 ","25,990",Automatic CVT,Gasoline , All-wheel Drive , Blue , 5N1DL0MM4JC521658 ,,3.5L V6 24V MPFI DOHC
Mercedes-Benz GLA-Class GLA 250 4MATIC,2016,"35,499 ","25,990",7-Speed Automatic with Auto-Shift,E85 Flex Fuel , All-wheel Drive , – , WDCTG4GB8GJ232190 ,,2.0L I4 16V GDI DOHC Turbo Flexible Fuel
Hyundai Santa Fe Sport 2.0L Turbo Ultimate,2017,"43,765 ","25,991",6-Speed Automatic,Gasoline , Front-wheel Drive , Twilight Black , 5XYZW4LA4HG480857 ,,2.0L I4 16V GDI DOHC Turbo
Hyundai Santa Fe SE,2018,"48,834 ","25,991",6-Speed Automatic,Gasoline , Front-wheel Drive , Iron Frost , KM8SM4HF3JU268687 ,,3.3L V6 24V GDI DOHC
Hyundai Kona SE,2020,"31,780 ","25,991",6-Speed Automatic,Gasoline , Front-wheel Drive , Sunset Orange , KM8K12AA3LU540010 ,,2.0L I4 16V MPFI DOHC
Mazda CX-5 GS,2017,"79,445 ","25,991",6-Speed Automatic,Gasoline , Front-wheel Drive , Snowflake White Pearl Metallic , JM3KFADL8H0186388 ,,2.5L I4 16V
Cadillac SRX Luxury Collection,2016,"53,026 ","25,991",6-Speed Automatic,Gasoline , Front-wheel Drive , Crystal Red Tintcoat , 3GYFNBE3XGS585984 ,,3.6L V6 24V GDI DOHC
GMC Terrain SLE,2018,"70,823 ","25,991",9-Speed Automatic,Gasoline , Front-wheel Drive , Red Quartz Tintcoat , 3GKALMEVXJL236820 ,,1.5L I4 16V GDI DOHC Turbo
Ford Edge SEL,2018,"46,740 ","25,991",6-Speed Automatic,Gasoline , Front-wheel Drive , White Platinum Tri-Coat Metallic , 2FMPK3J94JBB59431 ,,2.0L I4 16V GDI DOHC Turbo
Subaru Outback 2.5i Premium,2018,"64,295 ","25,991",Automatic CVT,Gasoline , All-wheel Drive , Tungsten Metallic , 4S4BSACC6J3219216 ,,2.5L H4 16V MPFI DOHC
Ford Edge SEL,2018,"70,154 ","25,991",6-Speed Automatic,Gasoline , Front-wheel Drive , Blue , 2FMPK3J87JBB59771 ,,3.5L V6 24V MPFI DOHC
Toyota RAV4 LE,2018,"48,387 ","25,991",6-Speed Automatic,Gasoline , Front-wheel Drive , Super White , JTMZFREV0JD113858 ,,2.5L I4 16V MPFI DOHC
BMW X3 xDrive28i,2017,"66,428 ","25,992",8-Speed Automatic,Gasoline , All-wheel Drive , Silver , 5UXWX9C35H0W69911 ,,2.0L I4 16V GDI DOHC Turbo
Lincoln MKX Reserve,2016,"84,200 ","25,993",6-Speed Automatic,Gasoline , All-wheel Drive , White Platinum Tri-Coat Metallic , 2LMTJ8LR1GBL41189 ,,3.7L V6 24V MPFI DOHC
Chevrolet Equinox 1LT,2018,"56,563 ","25,994",6-Speed Automatic,Gasoline , Front-wheel Drive , Summit White , 3GNAXJEV8JS524136 ,,1.5L I4 16V GDI DOHC Turbo
Subaru Crosstrek 2.0i,2018,"32,462 ","25,995",Automatic CVT,Gasoline , All-wheel Drive , Dark Gray Metallic , JF2GTAAC4JH305140 ,,2.0L H4 16V GDI DOHC
Ford Edge SEL,2018,"49,514 ","25,995",6-Speed Automatic,Gasoline , Front-wheel Drive , Oxford White , 2FMPK3J90JBB73276 ,,2.0L I4 16V GDI DOHC Turbo
Ford Edge SEL,2018,"49,514 ","25,995",6-Speed Automatic,Gasoline , Front-wheel Drive , Oxford White , 2FMPK3J90JBB73276 ,,2.0L I4 16V GDI DOHC Turbo
Honda CR-V EX-L,2017,"73,036 ","25,995",Automatic CVT,Gasoline , Front-wheel Drive , – , 2HKRW1H82HH503730 ,,1.5L I4 16V GDI DOHC Turbo
Land Rover Discovery Sport SE,2017,"38,318 ","25,995",9-Speed Automatic,Gasoline , Four-wheel Drive , Narvik Black , SALCP2BG7HH688969 ,,2.0L I4 16V GDI DOHC Turbo
Nissan Kicks SR,2020,"18,966 ","25,997",Automatic CVT,Gasoline , Front-wheel Drive , Gun Metallic , 3N1CP5DV9LL483476 ,,1.6L I4 16V MPFI DOHC
Nissan Rogue SL,2019,"51,760 ","25,997",Automatic CVT,– , Front-wheel Drive , Brilliant Silver Metallic , 5N1AT2MT0KC817946 , –,2.5L I4 16V MPFI DOHC
Chevrolet Equinox Premier w/1LZ,2018,"60,686 ","25,998",6-Speed Automatic,Gasoline , Front-wheel Drive , Mosaic Black Metallic , 3GNAXMEV9JS532893 ,,1.5L I4 16V GDI DOHC Turbo
Toyota C-HR LE,2019,"13,656 ","25,998",Automatic CVT,Gasoline , Front-wheel Drive , Gray , JTNKHMBXXK1021191 ,,2.0L I4 16V MPFI DOHC
Honda HR-V EX,2019,"17,062 ","25,998",Automatic CVT,Gasoline , Front-wheel Drive , Purple , 3CZRU5H59KM722537 ,,1.8L I4 16V MPFI SOHC
Kia Niro LX,2018,"25,912 ","25,998",6-Speed Automatic with Auto-Shift,Hybrid , Front-wheel Drive , Blue , KNDCB3LC8J5211093 ,,1.6L I4 16V GDI DOHC Hybrid
Buick Envision Essence,2017,"40,848 ","25,998",6-Speed Automatic,Gasoline , All-wheel Drive , Black , LRBFXDSA8HD095753 ,,2.5L I4 16V GDI DOHC
Honda HR-V LX,2019,"24,785 ","25,998",Automatic CVT,Gasoline , Front-wheel Drive , Gray , 3CZRU5H39KG708621 ,,1.8L I4 16V MPFI SOHC
Nissan Rogue S,2019,"40,360 ","25,998",Automatic CVT,Gasoline , Front-wheel Drive , Gun Metallic , KNMAT2MT5KP539834 ,,2.5L I4 16V MPFI DOHC
Chevrolet Traverse LTZ,2016,"84,279 ","25,998",6-Speed Automatic,Gasoline , All-wheel Drive , Mosaic Black Metallic , 1GNKVJKD8GJ242367 ,,3.6L V6 24V GDI DOHC
Honda CR-V LX,2018,"58,211 ","25,998",Automatic CVT,Gasoline , All-wheel Drive , White , 2HKRW6H35JH211609 ,,2.4L I4 16V GDI DOHC
Hyundai Kona SEL,2020,"9,940 ","25,998",6-Speed Automatic,Gasoline , FWD , Gray , KM8K22AA8LU411905 ,,2.0L I4 16V MPFI DOHC
Honda HR-V,2020,"13,220 ","25,998",Continuously Variable Transmission,– , – , Crystal Black Pearl , 3CZRU6H30LM720665 , –,–
Jeep Compass Limited,2019,"52,945 ","25,998",9-Speed Automatic,Gasoline , Four-wheel Drive , Gray , 3C4NJDCBXKT723187 ,,2.4L I4 16V MPFI SOHC
Ford Explorer XLT,2016,"65,572 ","25,998",6-Speed Automatic,Gasoline , 4WD , Ingot Silver Metallic , 1FM5K8DH0GGC88002 ,,2.3L I4 16V GDI DOHC Turbo
Kia Sportage EX,2019,"64,000 ","25,998",6-Speed Automatic,Gasoline , Front-wheel Drive , Pacific Blue , KNDPN3AC3K7526806 ,,2.4L I4 16V GDI DOHC
Toyota RAV4 LE,2017,"33,888 ","25,998",6-Speed Automatic,Gasoline , Front-wheel Drive , Purple , 2T3ZFREV3HW386998 ,,2.5L I4 16V MPFI DOHC
Ford Escape Titanium,2019,"42,540 ","25,998",6-Speed Automatic,Gasoline , Front-wheel Drive , Red , 1FMCU0J95KUA47367 ,,2.0L I4 16V GDI DOHC Turbo
Nissan Kicks SV,2021,"1,375 ","25,998",Automatic CVT,Gasoline , Front-wheel Drive , Super Black , 3N1CP5CV5ML504004 ,,1.6L I4 16V MPFI DOHC
Honda HR-V EX,2019,"28,414 ","25,998",Automatic CVT,Gasoline , Front-wheel Drive , Black , 3CZRU5H55KM726472 ,,1.8L I4 16V MPFI SOHC
Ford EcoSport SES,2020,"12,985 ","25,998",6-Speed Automatic,Gasoline , Four-wheel Drive , Diamond White , MAJ6S3JL3LC314281 ,,2.0L I4 16V GDI DOHC
Jeep Compass Limited,2018,"84,395 ","25,998",9-Speed Automatic,Gasoline , Four-wheel Drive , Billet Silver Metallic Clearcoat , 3C4NJDCB3JT102114 ,,2.4L I4 16V MPFI SOHC
Toyota C-HR XLE Premium,2018,"19,194 ","25,998",Automatic CVT,Gasoline , Front-wheel Drive , Silver , NMTKHMBXXJR040988 ,,2.0L I4 16V MPFI DOHC
Honda CR-V EX,2016,"33,815 ","25,998",Automatic CVT,Gasoline , FWD , Gray , 3CZRM3H5XGG716210 ,,2.4L I4 16V GDI DOHC
Mazda CX-5 Grand Touring,2016,"36,672 ","25,998",6-Speed Automatic,Gasoline , FWD , Meteor Gray Mica , JM3KE2DY0G0804452 ,,2.5L I4 16V GDI DOHC
Toyota RAV4 XLE,2016,"43,686 ","25,998",6-Speed Automatic,Gasoline , Front-wheel Drive , Blue , JTMWFREV9GJ097964 ,,2.5L I4 16V MPFI DOHC
Ford Edge SEL,2016,"62,410 ","25,999",6-Speed Automatic,Gasoline , All-wheel Drive , White Platinum Tri-Coat Metallic , 2FMPK4J88GBB11775 ,,3.5L V6 24V MPFI DOHC
Toyota C-HR XLE Premium,2018,"29,124 ","25,999",Automatic CVT,Gasoline , Front-wheel Drive , Black , NMTKHMBX0JR028686 ,,2.0L I4 16V MPFI DOHC
Ford Explorer Limited,2017,"89,302 ","25,999",Automatic,Gasoline , Four-wheel Drive , White , 1FM5K8F83HGC70222 ,,Intercooled Turbo Premium Unleaded I-4 2.3 L/140
Cadillac XT5 Base,2018,"50,768 ","25,999",Automatic,Gasoline , Front-wheel Drive , Red Passion Tintcoat , 1GYKNARS4JZ104261 ,,Gas V6 3.6L/222.6
Subaru Crosstrek 2.0i Limited,2018,"54,475 ","25,999",Variable,Gasoline , All-wheel Drive , Ice Silver Metallic , JF2GTALC3JH228015 ,,Regular Unleaded H-4 2.0 L/122
Honda CR-V LX,2019,"33,344 ","25,999",Variable,Gasoline , All-wheel Drive , Basque Red Pearl II , 2HKRW6H34KH213661 ,,Regular Unleaded I-4 2.4 L/144
Jeep Cherokee Altitude,2020,"23,240 ","25,999",Automatic,Gasoline , Front-wheel Drive , Bright White Clearcoat , 1C4PJLLB6LD561276 ,,Regular Unleaded I-4 2.4 L/144
Toyota RAV4 LE,2018,"16,026 ","25,999",Automatic,Gasoline , All-wheel Drive , Black Currant Metallic , 2T3BFREVXJW853051 ,,Regular Unleaded I-4 2.5 L/152
BMW X3 sDrive28i,2017,"44,350 ","25,999",Automatic,Gasoline , Rear-wheel Drive , Alpine White , 5UXWZ7C36H0X40273 ,,Intercooled Turbo Premium Unleaded I-4 2.0 L/122
Volkswagen Tiguan SE,2019,"44,026 ","25,999",Automatic,Gasoline , All-wheel Drive , Cardinal Red Metallic , 3VV2B7AX1KM091840 ,,Intercooled Turbo Regular Unleaded I-4 2.0 L/121
Ford Edge SEL,2019,"25,931 ","25,999",Automatic,Gasoline , All-wheel Drive , Gray , 2FMPK4J97KBB43411 ,,Intercooled Turbo Premium Unleaded I-4 2.0 L/122
BMW X3 xDrive28i,2017,"58,673 ","25,999",Automatic,Gasoline , All-wheel Drive , Gray , 5UXWX9C52H0D96432 ,,Intercooled Turbo Premium Unleaded I-4 2.0 L/122
Jeep Cherokee Limited,2019,"53,429 ","25,999",Automatic,Gasoline , Four-wheel Drive , Sting-Gray Clearcoat , 1C4PJMDX4KD465175 ,,Regular Unleaded V-6 3.2 L/198
Mazda CX-9 Touring,2018,"67,874 ","25,999",Automatic,Gasoline , Front-wheel Drive , Sonic Silver Metallic , JM3TCACY1J0219487 ,,Intercooled Turbo Regular Unleaded I-4 2.5 L/152
GMC Terrain SLE,2019,"33,258 ","25,999",Automatic,Gasoline , All-wheel Drive , Ebony Twilight Metallic , 3GKALTEV9KL205019 ,,Turbocharged Gas/E15 I4 1.5L/92
Audi Q3 2.0T Premium,2018,"68,243 ","25,999",Automatic,Gasoline , All-wheel Drive , White , WA1ECCFS7JR008949 ,,Intercooled Turbo Premium Unleaded I-4 2.0 L/121
Kia Niro EX,2019,"35,205 ","25,999",Automatic,Hybrid , Front-wheel Drive , Snow White Pearl , KNDCC3LCXK5340189 ,,Gas/Electric I-4 1.6 L/96
BMW X1 sDrive28i,2017,"51,030 ","25,999",Automatic,Gasoline , Front-wheel Drive , Black , WBXHU7C3XHP925154 ,,Intercooled Turbo Premium Unleaded I-4 2.0 L/122
Hyundai Tucson Limited,2018,"23,275 ","25,999",Automatic,Gasoline , Front-wheel Drive , Coliseum Gray , KM8J33A22JU761146 ,,Intercooled Turbo Regular Unleaded I-4 1.6 L/97
BMW X1 sDrive28i,2018,"57,295 ","25,999",Automatic,Gasoline , Front-wheel Drive , Black Sapphire Metallic , WBXHU7C37J5L05685 ,,Intercooled Turbo Premium Unleaded I-4 2.0 L/122
GMC Terrain SLT,2019,"62,199 ","25,999",9-Speed Automatic,Gasoline , Front-wheel Drive , Summit White , 3GKALPEV7KL230864 ,,1.5L I4 16V GDI DOHC Turbo
Subaru Crosstrek 2.0i Limited,2018,"34,083 ","25,999",Variable,Gasoline , All-wheel Drive , Venetian Red Pearl , JF2GTALC3JH313176 ,,Regular Unleaded H-4 2.0 L/122
Ford Explorer XLT,2017,"102,877 ","25,999",6-Speed Automatic,E85 Flex Fuel , Front-wheel Drive , White , 1FM5K7D88HGA61832 ,,3.5L V6 24V MPFI DOHC Flexible Fuel
Subaru Outback 2.5i Premium,2019,"86,013 ","25,999",Automatic CVT,Gasoline , All-wheel Drive , Crystal Black Silica , 4S4BSAFC6K3391677 ,,2.5L H4 16V MPFI DOHC
Chevrolet Equinox Premier,2018,"55,977 ","25,999",Automatic,Gasoline , All-wheel Drive , Iridescent Pearl Tricoat , 2GNAXVEV0J6102223 ,,Turbocharged Gas I4 1.5L/
BMW X3 sDrive28i,2017,"54,302 ","25,999",Automatic,Gasoline , Rear-wheel Drive , Black , 5UXWZ7C38H0X39772 ,,Intercooled Turbo Premium Unleaded I-4 2.0 L/122
Honda CR-V EX,2017,"53,756 ","25,999",Automatic CVT,Gasoline , Front-wheel Drive , Silver , 2HKRW1H52HH501093 ,,1.5L I4 16V GDI DOHC Turbo
