vehicle_name,year,miles,price,transmission,fuel_type,drivetrain,exterior_color,vin,mpg,engine
Honda CR-V LX,2008,"87,430 ","10,889",5-Speed Automatic,Gasoline , Front-wheel Drive , Whistler Silver Metallic , JHLRE38338C028686 ,,2.4L I4 16V MPFI DOHC
Mercedes-Benz E-Class E 350 4MATIC,2008,"122,370 ","6,930",5-Speed Automatic,Gasoline , All-wheel Drive , Iridium Silver Metallic , WDBUF87X98B247484 ,,3.5L V6 24V MPFI DOHC
GMC Yukon XL 1500 Denali,2008,"129,182 ","16,999",6-Speed Automatic,Gasoline , All-wheel Drive , Black , 1GKFK66878J118853 , –,6.2L V8 16V MPFI OHV
Chevrolet Tahoe LS,2008,"207,016 ","10,999",4-Speed Automatic,Gasoline , Rear-wheel Drive , Blue , 1GNFC13C78R256115 , –,4.8L V8 16V MPFI OHV
BMW 335 i,2008,"197,950 ","9,950",6-Speed Automatic,Gasoline , RWD , Black , WBAVB73508VH23961 ,,3.0L I6 24V GDI DOHC Twin Turbo
INFINITI M35 Base,2008,"139,031 ","10,498",5-Speed Automatic,Gasoline , Rear-wheel Drive , Blue Slate , JNKAY01EX8M608019 ,,3.5L V6 24V MPFI DOHC
Cadillac Escalade Base,2008,"141,700 ","16,999",6-Speed Automatic,Gasoline , Rear-wheel Drive , Gray , 1GYEC63828R117274 ,,6.2L V8 16V MPFI OHV
Chevrolet Tahoe LT,2008,"140,323 ","16,500",4-Speed Automatic,E85 Flex Fuel , Four-wheel Drive , Blue , 1GNFK130X8R105360 ,,5.3L V8 16V MPFI OHV Flexible Fuel
Ford Edge SEL,2008,"246,000 ","5,529",6-Speed Automatic,Gasoline , All-wheel Drive , White , 2FMDK48C18BB22602 ,,3.5L V6 24V MPFI DOHC
Ford Fusion SEL,2008,"93,636 ","7,991",6-Speed Automatic,Gasoline , All-wheel Drive , White , 3FAHP02148R161912 ,,3.0L V6 24V MPFI DOHC
Lexus ES 350,2008,"106,000 ","11,000",6-Speed Automatic,Gasoline , FWD , Black , JTHBJ46G282198807 ,,3.5L V6 24V MPFI DOHC
Lexus ES 350,2008,"101,456 ","11,555",6-Speed Automatic,Gasoline , Front-wheel Drive , Black , JTHBJ46G282158002 ,,3.5L V6 24V MPFI DOHC
Toyota Prius Base,2008,"71,486 ","11,994",Automatic CVT,Hybrid , FWD , Gray , JTDKB20U883363903 ,,1.5L I4 16V MPFI DOHC Hybrid
Toyota Camry CE,2008,"135,305 ","8,955",5-Speed Automatic,Gasoline , FWD , Black , 4T4BE46K28R045585 ,,2.4L I4 16V MPFI DOHC
Honda Accord LX,2008,"131,595 ","8,788",5-Speed Automatic,Gasoline , Front-wheel Drive , Royal Blue Pearl , 1HGCP26318A080938 ,,2.4L I4 16V MPFI DOHC
Audi A6 3.2 quattro,2008,"58,346 ","11,991",6-Speed Automatic,Gasoline , AWD , Black , WAUDH74F68N011291 ,,3.1L V6 24V GDI DOHC
Honda Civic Hybrid,2007,"94,373 ","7,998",Automatic CVT,Hybrid , Front-wheel Drive , Silver , JHMFA36257S028357 ,,1.3L I4 8V MPFI SOHC Hybrid
BMW 530 i,2007,"315,687 ","3,998",Automatic,Gasoline , Rear-wheel Drive , Black , WBANE73507CM52236 ,,3.0L I6 24V MPFI DOHC
Mercedes-Benz S-Class S 550,2007,"78,389 ","15,950",7-Speed Automatic,Gasoline , Rear-wheel Drive , Flint Grey Metallic , WDDNG71X97A042943 ,,5.5L V8 32V MPFI DOHC
Ford Fusion SE,2007,"146,492 ","5,888",6-Speed Automatic,Gasoline , Front-wheel Drive , Dune Pearl Clearcoat Metallic , 3FAHP07187R217731 ,,3.0L V6 24V MPFI DOHC
Honda Element LX,2007,"235,819 ","6,994",5-Speed Manual,Gasoline , 4WD , Black , 5J6YH27337L000228 ,,2.4L I4 16V MPFI DOHC
Honda CR-V EX,2007,"101,910 ","11,551",5-Speed Automatic,Gasoline , Front-wheel Drive , Tango Red Pearl , JHLRE38587C047363 ,,2.4L I4 16V MPFI DOHC
Ford Explorer XLT,2007,"76,184 ","12,999",5-Speed Automatic,Gasoline , RWD , Oxford White Clearcoat , 1FMEU63E37UA99500 ,,4.0L V6 12V MPFI SOHC
Chevrolet Malibu LT,2007,"172,913 ","3,998",4-Speed Automatic,Gasoline , FWD , White , 1G1ZT58FX7F243934 , –,2.2L I4 16V MPFI DOHC
Lexus IS 350,2007,"124,708 ","12,998",6-Speed Automatic,Gasoline , Rear-wheel Drive , Black , JTHBE262472010106 ,,3.5L V6 24V PDI DOHC
Acura RL,2007,"73,316 ","17,980",5-Speed Automatic,Gasoline , All-wheel Drive , Lakeshore Silver Metallic , JH4KB16617C004506 ,,3.5L V6 24V MPFI SOHC
Toyota Highlander Sport,2007,"127,535 ","9,999",5-Speed Automatic,Gasoline , All-wheel Drive , – , JTEEP21A570229557 ,,3.3L V6 24V MPFI DOHC
Toyota RAV4 Limited,2007,"136,384 ","11,988",5-Speed Automatic,Gasoline , Front-wheel Drive , – , JTMZK31VX75012070 ,,3.5L V6 24V MPFI DOHC
Chrysler Sebring Touring,2007,"125,451 ","5,900",4-Speed Automatic,Gasoline , Front-wheel Drive , Bright Silver , 1C3LC56K37N533679 ,,2.4L I4 16V MPFI DOHC
Lexus ES 350,2007,"182,722 ","8,588",6-Speed Automatic,Gasoline , Front-wheel Drive , Golden Almond Metallic , JTHBJ46G272061705 ,,3.5L V6 24V MPFI DOHC
Nissan Maxima SE,2007,"134,948 ","6,195",Automatic CVT,Gasoline , Front-wheel Drive , Precision Gray Metallic , 1N4BA41E27C851299 ,,3.5L V6 24V MPFI DOHC
Mercedes-Benz GL-Class GL 450 4MATIC,2007,"104,167 ","11,998",7-Speed Automatic,Gasoline , All-wheel Drive , Beige , 4JGBF71E87A245297 ,,4.6L V8 32V MPFI DOHC
Chevrolet Tahoe LS,2007,"162,905 ","12,999",4-Speed Automatic,Gasoline , Rear-wheel Drive , Red , 1GNEC13J77R148733 , –,5.3L V8
Acura RDX Technology,2007,"144,788 ","11,295",5-Speed Automatic,Gasoline , All-wheel Drive , Nighthawk Black Pearl , 5J8TB18507A011440 ,,2.3L I4 16V MPFI DOHC Turbo
Audi A4 3.2 quattro,2007,"76,705 ","8,980",6-Speed Automatic,Gasoline , AWD , Silver , WAUDH78E27A108995 ,,3.1L V6 24V GDI DOHC
