Toyota Camry SE,2017,"84,106 ","18,890",6-Speed Automatic,Gasoline , Front-wheel Drive , Cosmic Gray Mica , 4T1BF1FK1HU675507 ,,2.5L I4 16V MPFI DOHC
Lincoln MKZ Reserve II,2019,"23,865 ","38,500",6-Speed Automatic,Gasoline , Front-wheel Drive , Ingot Silver , 3LN6L5E9XKR619287 ,,2.0L I4 16V GDI DOHC Turbo
Mercedes-Benz E-Class E 350,2016,"65,249 ","28,991",7-Speed Automatic,Gasoline , Rear-wheel Drive , White , WDDHF5KB5GB179895 ,,3.5L V6 24V GDI DOHC
Lexus LS 500 Base,2019,"15,905 ","72,988",10-Speed Automatic,Gasoline , Rear-wheel Drive , Eminent White Pearl , JTHB51FF3K5007430 ,,3.5L V6 24V PDI DOHC Twin Turbo
BMW 330e iPerformance,2018,"16,594 ","34,325",8-Speed Automatic,Hybrid , Rear-wheel Drive , Black Sapphire Metallic , WBA8E1C5XJA758843 , –,2.0L I4 16V GDI DOHC Turbo Hybrid
Honda Civic LX,2018,"23,517 ","25,985",Automatic CVT,Gasoline , Front-wheel Drive , Modern Steel Metallic , 2HGFC2F6XJH601259 ,,2.0L I4 16V MPFI DOHC
Ford Fusion Energi Titanium,2019,"41,198 ","25,310",Automatic CVT,Hybrid , Front-wheel Drive , Oxford White , 3FA6P0SU5KR114588 , –,2.0L I4 16V MPFI DOHC Hybrid
BMW 330e iPerformance,2018,"20,647 ","34,961",8-Speed Automatic,Hybrid , Rear-wheel Drive , Jet Black , WBA8E1C5XJA756249 , –,2.0L I4 16V GDI DOHC Turbo Hybrid
Toyota Camry LE,2019,"31,916 ","26,991",8-Speed Automatic,Gasoline , Front-wheel Drive , Super White , 4T1B11HK5KU810992 ,,2.5L I4 16V PDI DOHC
BMW 530e iPerformance,2019,"29,855 ","38,991",8-Speed Automatic,Hybrid , Rear-wheel Drive , Dark Graphite Metallic , WBAJA9C57KB399412 , –,2.0L I4 16V GDI DOHC Turbo Hybrid
Tesla Model 3 Performance,2018,"12,643 ","58,500",1-Speed Automatic,Electric , All-wheel Drive , Deep Blue Metallic , 5YJ3E1EB9JF180273 ,,Electric
Tesla Model 3 Long Range,2018,"46,820 ","48,700",1-Speed Automatic,Electric , Rear-wheel Drive , Black , 5YJ3E1EA0JF171615 ,,Electric
Toyota Camry SE,2019,"40,222 ","26,887",8-Speed Automatic,Gasoline , Front-wheel Drive , Red , 4T1B11HK2KU165007 ,,2.5L I4 16V PDI DOHC
Audi S4 3.0T Premium Plus,2018,"58,655 ","40,500",8-Speed Automatic,Gasoline , All-wheel Drive , Mythos Black Metallic , WAUB4AF49JA118778 ,,3.0L V6 24V GDI DOHC Turbo
Toyota Camry LE,2019,"14,590 ","26,988",8-Speed Automatic,Gasoline , Front-wheel Drive , Predawn Gray Mica , 4T1B11HK5KU207394 ,,2.5L I4 16V PDI DOHC
Audi S4 Premium Plus,2018,"23,935 ","45,998",Automatic,Gasoline , All-wheel Drive , Brilliant Black , WAUB4AF46JA136297 ,,Engine: 3.0L TFSI Twin-Scroll Turbo DOHC V6 -inc: Audi valvelift
